,Station,Previous Station Code,Up/Down Line,Day of Week,Hour,Minute,Number of Transfer,GetIn_cnt,GetOut_cnt,PrevCongestion0,PrevCongestion1,PrevCongestion2,PrevCongestion3,PrevCongestion4,PrevCongestion5,PrevCongestion6,PrevCongestion7,PrevCongestion8,PrevCongestion9,sin_time,cos_time,sin_minute,cos_minute,Route Code_0.0,Route Code_1.0,Route Code_2.0,Route Code_3.0,Route Code_4.0,Route Code_5.0,Fast Transfer0,Fast Transfer1,Fast Transfer2,Fast Transfer3,Fast Transfer4,Fast Transfer5,Fast Transfer6,Fast Transfer7,Fast Transfer8,Fast Transfer9,Fast Get Off0,Fast Get Off1,Fast Get Off2,Fast Get Off3,Fast Get Off4,Fast Get Off5,Fast Get Off6,Fast Get Off7,Fast Get Off8,Fast Get Off9
16942,226,226,0,3,7,50,1.0,1871.029458145238,1203.1348775272625,134.2,158.2,184.0,180.8,186.0,192.0,186.8,170.0,137.2,171.0,0.9659258262890684,-0.2588190451025206,-0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
15818,224,224,0,1,9,10,0.0,224.3882766994603,520.2790833851695,106.6,136.6,153.0,176.8,171.2,159.4,164.8,162.2,141.2,140.4,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5940,208,208,0,2,7,40,3.0,350.4163437990075,176.5429068151762,45.0,66.0,58.0,51.0,46.0,49.0,49.0,45.0,40.0,41.0,0.9659258262890684,-0.2588190451025206,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
20347,233,233,1,0,9,20,1.0,481.3751322113401,166.26745725856293,35.0,34.0,40.0,55.0,39.0,51.0,67.0,53.0,44.0,33.0,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0
15767,224,224,0,3,9,50,0.0,224.3882766994603,520.2790833851695,64.83333333333333,74.83333333333333,95.83333333333331,114.5,113.16666666666669,102.0,114.33333333333331,85.83333333333333,77.0,77.66666666666667,0.7071067811865476,-0.7071067811865475,-0.8660254037844386,0.5000000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
25698,242,242,1,2,6,50,0.0,246.7251919471868,153.28663696565698,50.0,32.5,30.5,39.5,38.75,31.5,28.5,25.25,19.5,28.5,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
24039,240,240,1,0,8,40,0.0,1229.578871451161,1866.4872397830788,122.0,123.0,114.0,103.0,106.0,109.0,102.0,103.0,95.0,86.0,0.8660254037844387,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
16272,225,225,0,0,7,0,0.0,576.2238507251348,693.0561325959123,96.4,109.6,111.6,117.8,114.8,107.6,113.6,102.4,97.4,145.0,0.9659258262890684,-0.2588190451025206,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
10868,216,216,0,0,6,40,1.0,562.1846628690673,403.6734393028521,25.5,21.75,22.75,21.75,20.75,21.75,16.75,18.75,12.0,14.75,1.0,6.123233995736766e-17,-0.8660254037844384,-0.5000000000000004,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
28807,234,234,0,2,9,20,2.0,728.5720616134413,303.32803557184934,38.0,52.0,50.0,45.0,41.0,30.0,40.0,26.0,19.0,19.0,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
